Text,Label,Sentiment
Top FT economist says ditch #HS2 and improve the lives of many by paying for many smaller projects,0,negative
Rare Black Hairstreak butterfly threatened by #HS2 and the #OxCamExpressway,0,negative
#HS2 must get itself in shape for delivery. Collaboration and Alliancing models used for HS1 will be invaluable says,0,negative
@BartlettDarren \u00a35 MILLION per year in rent just for its Birmingham offices? #HS2 is a shocking waste of public money.,0,negative
After Hs2 employees encage and forcefully restrain ancient woodlands protestors they cut down an oak and commit a wild life crime. #StopHS2 #NHSnotHS2 #HS2rebellion #ExtinctionRebellion @ChrisGPackham @BBCBreaking @BBCNews @Channel4News @SkyNews @itvnews  @BorisJohnson,0,negative
#hs2 delighted to announce they\u2019ve discovered a faster way to transfer taxpayers cash straight into the pockets of vested interests! You don\u2019t need to do any work now just gives us your bank details and how much you want?,0,negative
Property Firms line up Against #HS2,0,negative
"And finally, self evident if you destroy homes &amp; communities of loyal @Conservatives @ConHome #NoVotesForUWithHS2 #SecuringAMajority #hs2",0,negative
The new High Speed2 #HS2 train line will destroy the Chilterns & my local area -sign this petition to force a rethink,0,negative
"#Hs2 protest needs xr help NOW.. We need press.\nHS2 attempting to cut down 2 - 300yr old oak trees \nWe have one protector up a tree.  We have one protector in the field (ex woodland - courtesy HS2)with 14 security.\nHarvil Rd\nHarvil Rd, Uxbridge UB9 6RP",0,negative
"Morning all, what a beautiful day! Start it off by signing the @camdentalking petition againt #HS2 #Camden",0,negative
"So, if the #HS2 process mirrors #crossrail, it will be a shade over 9 years in select committee. Will spades be in the ground by 2017?",0,negative
"Times' autopsy IX: Hardly exclusive, but #HS2 to be met by protests that'll delay it \""decades\"". Long enough for govt to get common sense?",0,negative
Evidence of behaviour undertaken in the name of #HS2Ltd in an attempt to stop the truth about the destruction of #AncientWoodland and habitats supporting #BlueTits #Woodpeckers &amp; #Treecreepers during the #NestingSeason \n\n#NHSnotHS2 #StopHS2 #RethinkHS2 #XR #XRebellion #HS2,0,negative
"#HumansOfXR Friday &amp; more faces of our resistance. Rebels on the ground this week in #Cubbington, Warwickshire, dedicating their time, energy &amp; love trying to #StopHS2. #H2OnotHS2 #ExtinctionRebellion #HS2",0,negative
Christian Wolmar on ITV1 says #HS2 is not the best way to spend a vast amount of money on one new line.,0,negative
If @BorisJohnson @10DowningStreet think delaying #hs2 news is a good idea they are wrong especially if they decide in any way to continue with this obscene project then @brexitparty_uk will be the recipient of what would have been @Conservatives voters. Be warned @BorisJohnson,0,negative
Hearing from business owner about devastation that will be caused to Drummond St restaurants #hs2,0,negative
"Extract from #hs2 accounts.....9000 jobs \u201dsupported\u201d.....\u00a37 billion spent.....that\u2019s \u00a3775,000 per job....let that sink in a second!\n\nWhat is this utter madness! @grantshapps @CherylGillan @Mike_Fabricant @BorisJohnson",0,negative
"The cost of #HS2 Phase One has increased from \u00a327.2bn in 2017 to \u00a345bn today.  This is what Mark Thurston - Chief Executive of HS2, said to @BBCPanorama in December 2018.  The taxpayer funds his salary, which is \u00a3625,000.  Why is he still in his job? @grantshapps @NickFerrariLBC",0,negative
Business people are adapting to working from home and modern technology has changed things radically - further undermining the case for HS2,0,negative
\u00a3500bn of UK govt projects at risk of failure http://t.co/InoHQVy0n9 via @FT MPs have voted for #HS2; delivery is another matter,0,negative
"#HS2 Shropshire Star says enough is enough!\n\nNew figures released today show, 1000s of people in Midlands who catch the train in the morning are being forced to stand.\n\nThis an appalling situation, particularly when you consider the high ticket prices",0,negative
Is 8 years of disruption &amp; 40% loss of capacity at #Euston a price worth paying for #HS2 that will lose money like virtually every HS rail,0,negative
Young mum can't think about kids'  schools because of blight &amp; uncertainty caused by #hs2,0,negative
Greening and Baker confirm #HS2 is a White Elephant: http://t.co/RJ50lLiK via @youtube #stophs2 This is how you reduce #carbon,0,negative
#UncontrolledImmigration #EU #HS2 #WindTurbines #Cameron going opposite direction to public opinion whilst #UKIP has finger on the pulse,0,negative
The number of #HS2 trains that will travel to #Scotland limited by freight growth #HS2,0,negative
82.5% of people think HS2 should not go ahead ,0,negative
There you go. #Hs2 a waste of money &amp; obsolete even before built. Quit before you waste any more public money @BorisJohnson @RishiSunak @grantshapps,0,negative
#HS2  ecologist job available. All you really need to do is lie and ignore evidence and the law and you'll have the job!,0,negative
HS1 chair: High speed rail is fundamentally flawed | News in depth | New Civil Engineer,0,negative
#HS2\u2019s statement on rats is offensive,0,negative
"Wonder how many #HS2 petitions will get 'thrown out' for not \""complying\"" with the strict guidelines set? Or just lumped together in batches.",0,negative
#HS2 making peoples lives a misery wherever they go,0,negative
From #WellsHouseRoad #London people are trapped in torturous and life threatening situations caused by #HS2 work in the pandemic Where are the #Covid19 risk assessments for the public? Where is the #StatutorydutyOfCare? #Suicides #AirPollution #NoisePollution #ShutTheSites,0,negative
Site visit to Bournemouth yesterday. Would have preferred train but 4\u00bdhrs door-to-door so drove in less than half that. #HS2 wouldn't help,0,negative
Leeds needs a tram system in Leeds itself as it is one of the few Cities in England that does not have a local infrastructure so forget #hs2 and give Leeds what it needs not more connections to London so the Talent in Leeds goes South. ,0,negative
"Increased congestion, over crowding and pollution. Screening of film by young people impacted by #HS2 at the #Camden #YouthAction showcase",0,negative
\u201cGo HS2\u2033 attempts to mislead,0,negative
#hs2\n\nHs2 is a blank cheque project and don\u2019t trust anyone who says otherwise!\n\nExclusive | Euston faces \u00a32bn budget hole as costs soar,0,negative
"#newsnight Once #HS2 reaches this far North I expect the value of my property to increase significantly. This is, in my opinion, a bad thing",0,negative
Police facilitating #HS2 committing wildlife crime at denham country park while tree protectors lives literally hang in the balance. #ecocide #stophs2,0,negative
High Speed 2 is 'unlikely to succeed,0,negative
A pittance for the North once again. Crumbs for the North whilst #HS2 swallows up Billions.,0,negative
Woodman and Eagle &amp; Tun under threat of demolition. Great nights in there when Pat was the gaffer #brum #HS2 #bcfc ,0,negative
#hs2 A Cabinet Minister has claimed that the transport system in Leeds \u201cneeds to be improved\u201d but refused to back the section of the under-threat HS2 high speed rail scheme connecting Yorkshire\u2019s biggest city to London.,0,negative
"By stopping #HS2, Cameron may save some marginal seats. Can he afford not to or is his pig headedness going to lose him the election.",0,negative
Grapic to show how few from high carbon transport and how many #HS2 passengers from low carbon transport,0,negative
"\u201cEverybody here passionately loves the planet, trees, and essentially we need to put people and planet before profit.\u201d Cubbington Protesters earlier this month marching against the 'concrete electrified scar' of #HS2",0,negative
"#HS2 does not make sense financially (\u00a3106bn) , politically (gov own review) or environmently (mass destruction). Drawing a straight-line from London to Birmingham just to go 400km per hour is pure vanity &amp; stupidity.",0,negative
"OK, but if we don't say WHAT to do we build annoyance and frustration.  Easy big actions, many free or cheap - kill #HS2 and H'row-3, insulate, low-energy lighting, retire hi-carbon vehicles ... Come on! Get on with #climateaction @ExtinctionR @GreenRupertRead @DrEmilyGrossman",0,negative
"With regards to upgrading the Chiltern line as an alternative to #HS2 @chilternrailway say \""We do not believe this is practical\"" #HSR",0,negative
"Is this what to expect from #HS2 contractors,destroying wildlife, nests and ancient healthy trees? @Natures_Voice @RSPBEngland @ChrisGPackham @BBCSpringwatch @michaelastracha Watch \u201cHs2 commits wild life crime 21.4.20 Crackley Woods",0,negative
This man has no vested interest in #HS2 and knows about railways,0,negative
@hcegroup High Court Enforcement Group - who state 100% health &amp; safety compliance? More like thuggery &amp; bully boy behaviours? Comments? #HS2Rebellion #HS2 #NHSnotHS2 .@stophs2,0,negative
Great Missenden and #hs2 have started clearing the hedgerows and wildlife along the A413.  The number of police attending is disgraceful. @stophs2 @Hs2Rebellion @XRebellionUK @xryouthuk @XRFamilies @RishiSunak #climate #beyondpolitics #actnow #greenpeace #amnestyinternational,0,negative
"PM also says he won't bow to vested interests re #HS2, but he already has, to vested business interests aided by DfT/HS2 fixing the figures",0,negative
How #HS2 tunnels will impact on the chalk streams in the Chiltern area of Hertfordshire and Buckinghamshire. The very rare #chalkstreams,0,negative
Still waiting @gregsmith_uk \n\nWith a GE coming soon you shouldn\u2019t presume that natural Conservatives will vote for you while #HS2 hangs over us,0,negative
I believe there are other #hs2 community forums going on tonight. Is anyone tweeting from them? Are they as poor as this one?,0,negative
This is scary for anyone in Birmingham or on the possible Y route http://t.co/GPRzzL0X #hs2 is out of control Euston size of 17 emirates!!!!,0,negative
#HS2 tunnel for Ealing would be 'too expensive',0,negative
Cones removed and link road reopens in first victory for Great Missenden #HS2 protesters,0,negative
The extravagant designs of the stations is further proof that HS2 is a vanity project. It's all about showing off rather than providing functionality at the minimum cost to taxpayers.,0,negative
"#hs2 irrelevant when I can't even get on @swtrains in #surbiton due to overcrowding, missed connection, #ihatecommutertrains""",0,negative
"Even before this pandemic, I never heard a good enough argument for #HS2 Surely it would be more beneficial to invest in local transport infrastructure, including brilliant cycle systems. Would benefit far more people.",0,negative
"Will no Media outlet do a full expose on #HS2 and show the Country just how far down the sewer UK politics, Civil Service and Industry have fallen, and we the taxpayers pay the shysters and our voices are never heard or listened too.",0,negative
#hs2 'battleground' ward of West #Ruislip remains all Tory. United front no matter what party on that white elephant.\n#hillingdonelects,0,negative
Why is this work carrying on in lockdown with no social distancing - look what the people are wearing it is like riot gear ....this #HS2 line is costing a small fortune it is completely unnecessary in the present climate .. improvements to the existing rail network would better?,0,negative
#HS2 meeting tonight is private so I can't go but will be first of many to discuss mitigation and answer residents/council's q's #Ealing,0,negative
A Big vote winner for Boris if he announces #HS2 cuts as part of an election campaign - HS2 hugely unpopular with voters,0,negative
Which completely blows away any argument for #hs2.....people aren\u2019t using the rail network for these journeys cos it\u2019s cheaper to drive! #hs2 only makes this worse as it\u2019s a premium fare,0,negative
If an 'all party group' can destroy acres of wonderful countryside &amp; whole of iconic #Euston in name of #HS2 An non commercial airfield site has no chance... #Greed #SelfInterest #Wellesbourne #DontJustChangeTheGovernmentChangeTheSystem,0,negative
51m- Denham group plans mass walk to protest against #HS2,0,negative
Blogpost: glaring inconsistencies undermine 51M's #HS2 'alternative,0,negative
#DemocracyIsDead This is private #HS2 security breaking the law again @hcegroup you will take the fall for Boris when this all gets investigated #ShameonYou,0,negative
#England #Scotland #Wales that is correct #hs2 full of bloated pay and still nothing tangible - could be a good sign that they've blown over half their budget to date just on fat pay checks,0,negative
There you go further proof if further proof be needed that #hs2 is the most humongous corrupt gravy train on the planet and testament to the state of our nation. Corruption is rife amongst those who are directly paid by me and thee. Please RT.,0,negative
Almost 2000 petitions against #HS2 hybrid bill despite submission being a complex process - well done everyone!,0,negative
 Camden launches petition opposing High Speed 2. Sign up to show support,0,negative
No Point' to #HS2 green tunnel in #StokeMandeville,0,negative
"Just How Many Low Cost, Truly Affordable Homes will \u00a339 Billion provide ?\nHow many #Homeless in the #UK ?\nWHAT is more important Taking Back Control #HS2 or looking after the Truly #British population ?",0,negative
"#England #Scotland #Wales #Scotlandhour #Waleslive a few things to do with 120+ billion #hs2 money - prevent flooding,stop coastal erosion,invest in cures for cancer, education,police fire @ ambulance services,roads, local transport https://t.co/Rtxi7tW0YT",0,negative
You just know the vested interests dictated this. That either/or line has been recycled several times through several ministers/shadow ministers \nIn a world of limited resources EVERY spending decision is either/or and wasting money on #HS2 means something needed is cut. https://t.co/b73Ljchp1D,0,negative
"#hs2 Another huge infrastructure project (????????????????????) whilst people are going hungry or sleeping on the streets. Not to mention thousands of people laid to rest, now being dug up. Grrr.",0,negative
"Stuck at Paddington, no trains due to overhead cables being damaged AGAIN!! Existing rail infrastucture is outdated and shit - yet let's spend billions on the totally unnecessary #HS2...",0,negative
"The #HS2 Subject 1) Rail is in debt to the Treasury (us) to the tune of ??50Bn\n                              2) Previously Rail was forgiven ??30Bn by the Treasury (us)\n                              3) HS2 began life at ??15,7Bn of Public Money. Now ??100Bn https://t.co/u9nd0YgRz8",0,negative
"""The collective clutching at straws by executives and politicians was almost audible last week as the fallout from #HS2 ltds estimate of how many communities its new high speed line will rip up, began to be felt.""\nhttps://t.co/QaihVF0AYm",0,negative
Stand with me and object to the #HS2 Phase 2b route. @HS2ltd must understand that the impact on #AncientWoodland and #AncientTrees is unacceptable #StandUpForTrees https://t.co/QQJSzUBw1l,0,negative
"""Northern MPs tell Labour: change your mind on HS2""\n&gt; Time for Labour to oppose #HS2 @JeremyCorbyn &amp; @JohnMcDonnellMP! Colossal waste of money!\ncc @Mike_Fabricant https://t.co/cg8ZLoqYAz",0,negative
"https://t.co/4CNAFawXFu\nJust another demonstration of the waste of OUR money on projects not fit for purpose. #hs2 has already demonstrated time and again that it is ill thought out, unwelcome by the majotity of the public and not required now or in the future.",0,negative
Stand with me and object to the #HS2 Phase 2b route. @HS2ltd must understand that the impact on #AncientWoodland and #AncientTrees is unacceptable #StandUpForTrees https://t.co/AjFFONHeov,0,negative
This is the problem with @UKLabour It opens its mouth before engaging brain.Does @UKLabour believe there is a Money Fairy ready to grant us every wish financially and taxing businesses that pay little tax goes only so far. Spend on the right projects &amp; #hs2 isn't one of them. https://t.co/6oGCHiBbBm,0,negative
Oxford-Cambridge Arc: Central England mega-plan - great news for #hs2 opponents with this emphasis on East-West communications and development ?Ÿ˜€ https://t.co/fhrWZAHok0,0,negative
"Good to know #HistoricEngland are so excited about being able to excavate sites along the entire length of proposed #HS2 route. More of our hidden history identified, hurriedly investigated, then reburied, never to be seen again. Most expensive #archaeological dig ever? #blighted",0,negative
Odd trainspotters scrabbling unsuccessfully to concoct economically literate case for #HS2 and defend the shrinking boundary of public support @RichardWellings @PDeeley @mcahs2 @joerukin @nigelsarbutts @HS2theTruth @m2m_johnlewis @WellsHouseRoad @Penny_Gaines (None in this pic) https://t.co/g2rkCq4PWA,0,negative
Stand with me and object to the #HS2 Phase 2b route. @HS2ltd must understand that the impact on #AncientWoodland and #AncientTrees is unacceptable #StandUpForTrees https://t.co/oe0I4WZv6O,0,negative
#HS2 have consistently refused to publish detailed costing figures and Sir John Armitt has admitted that whatever its cost a further ??42 Billion will be required to link it up https://t.co/RzYh83ZT9X,0,negative
The BCR has always been fiddled to ensure the MPA never gave it a RED/RED rating. With the changes in additional costs which have not been reflected in last 3 yrs of BCR or MPA it is thought that for every one pound invested in #hs2 there would be a 76pence return. That's RED/RED https://t.co/atRgd4yTe7,0,negative
"#HS2 is a ??100bn scheme to have slightly shorter journey times from Manchester and Birmingham to London, thereby solving Britain?€™s biggest ever problem.https://t.co/Cf62XWSQEg",0,negative
3.3 billion just the cost of buying the land so far. In context the Tories gave 2 billion to social care over 3 years. Crazy to waste public money on a vanity project like #HS2 when social care in crisis. https://t.co/vzc8ZBqkJX,0,negative
"Residents given update on #HS2 plans ?€?but many remain opposed to the scheme \n""I just think HS2 is unnecessary. We already have three trains to London every hour. ""\nhttps://t.co/wzlADDoBya",0,negative
"#ukgov government finally committed to building #hs2 in 2012 with a ??33bn budget. Costs were revised upwards to ??42.6bn in 2013 &amp; then to ??55.7bn in 2015. Some estimates have put  final cost at more than ??100bn.""\nhttps://t.co/bwm0selVb4\n#ukeconomy #whiteelephant",0,negative
Maybe get broadband working enough so you don?€™t need to spend billions sending folk to London 20 mins quicker #HomeWorking #HS2 https://t.co/4e2LLA1Nbm,0,negative
At a guess very few if any. This is #hs2 we are dealing with who don't pay when they have taken over peoples businesses or homes so why should access be any different? https://t.co/bSZ5XVQ24y,0,negative
The end is nigh for #HS2 as @UKLabour MPs in North finally come out on mass to criticise spiralling @hs2ltd @transportgovuk project costs &amp; priority focus on #HS2 and East/West connectivity across Northern... https://t.co/UwuhTbXr0z,0,negative
Shocking levels of ignorance &amp; technical illiteracy of #HS2 #HSRail being displayed by yet another politician. \nFrance would have paid a nax of ??50 Million Euros NOT ??56 BN for London to Birmingham. \nSteel wheels &amp; steel rails &amp; fast Intercity Only is NOT the solution. https://t.co/VL41MHBjjU,0,negative
The #HS2 Subject 2) \n                              1) The passenger demand figures are made up\n                               3)The 'economic benefits' are made up \n                               4) The environmental and social costs have not formed part of        the CB analysis https://t.co/ufNn6jh6zH,0,negative
#hs2 exhuming thousands of dead bodies #Cuadrilla shaking Lancashire into the Irish Sea but heaven forbid some people fail to get their divided,0,negative
Also seems ludicrous to support #Brexit on the basis of cost (saving) whilst our MPs are pissing away money on crazy projects like #HS2!\n\nhttps://t.co/cbxGRgZmKb,0,negative
On the basis that #HS2 has already squandered ??4Bn already I don't hold out much hope for a project that has no detailed costing. You wouldn't even build your kitchen extension like that. https://t.co/6X26LRAJvV,0,negative
Perhaps if we all wrote and objected to all developments this ridiculous expensive scheme can be stopped. Shareholders in major construction companies have a lot to answer for #HS2 #STOPdevelopment https://t.co/nyx44X8XvQ,0,negative
#HS2 was a very poor &amp; extravagant idea &amp; needs shelving. Jobs are still available if we spend that sort of money improving our existing #railway infrastructure throughout the entire country. #lbc @clivebull @lbc,0,negative
"Parts of #labour are beginning to challenge the senseless expenditure of our ??100 billion being wasted on #HS2 which will bring little benefit to the North, more likely drawing more business to London from Birmingham and definitely filling @KPMG coffers  https://t.co/4sLoyLJ3f3",0,negative
"#HS2 is, and always will be, a white elephant project that only benefits London to the detriment of already starved regions. Glad that Labour MPs are putting pressure on the London-centric leadership to think again and focus on other priorities ?Ÿš??Ÿš?https://t.co/O20dqQj2j9",0,negative
In Phase 1 in 2012/13/14/15/16/17 we asked #hs2 the same question and what facilities there would be to get emergency services to the accident. To date we have had not a single response giving any details. Don't hold your breath. https://t.co/UXLaPSB1J1,0,negative
When this came out 2 weeks ago the #HS2 vested interests went missing. They had nothing to say to defend the destruction. They can not be allowed to ignore these inconvenient truths. Defend #HS2 ? then defend this! https://t.co/mKzff4nB03,0,negative
"""According to a September 2018 poll by ComRes, three in five British adults think that #HS2 is poor value for money, and 85% think the money should be spent on improving the capacity of existing railways instead of building it.""\nhttps://t.co/alVm7zyoDX",0,negative
"Labour Shadow Transport spokesman has discovered a virtually unlimited source of finance for Rail and #HS2. A source  unavailable for Housing, Schools, NHS, Social Care - Congratulations Andy you have discovered  financial perpetual motion https://t.co/2Z5VUCPESk",0,negative
Instead of wasting money on #HS2 build a cross-country link across the North and use the billions saved to cut taxes.\n@PhilipHammondUK take note.,0,negative
"Four cities, 1 hour, 1.3m people: new northern rail plan revealed\n#transport Needed much more than #HS2 Poverty standard transport provision across much if the north. Northern Rail, a shambles.\nhttps://t.co/zO8g4E8PgO",0,negative
