,text
7,We are working with Britain’s largest #infrastructure project @HS2ltd and CSJV (@CostainGroup @SkanskaGroup) taking major steps to eliminate work-related #hearingloss using our smart #eardefenders and noise monitoring software to manage noise on #HS2 sites https://t.co/T7xPaPQxQN https://t.co/nlWByFBb6F
10,"Ngl, I'm really tempted to make a comic in the homestuck universe but focusing on a different game (given multiple games took place). I have some ideas and this #HS2 might just be the push I needed... \n\n#godtier #homestuck #fankid #selfinsert #hsoc https://t.co/Ujj0xW7TiE"
13,"More information here on the background to this answer from #Building "" Work on more than 10% of #HS2 sites shut because of #SocialDistancing problems"" @ https://t.co/mpDpfjsRSr\n\nWhich means that on c180 sites along the line of #HS2,  work goes on!! https://t.co/7T6zhbqYEe"
15,"1/2 At the recent #HoC #TransportSelectCommittee hearing on #HS2 The Next Steps #KarlMcCartneyMP made the following observation in asking a  #MarkThurston question (Q 48) "" . You and I both know that within the industry, and certainly within the #RailIndustry, consultants"
16,"The #WestMidlands is at the heart of the new high speed network\n#HS2 and with planning now approved, the brand new Birmingham Curzon Street Station will further enhance to the region's brilliant connectivity. \n\nMore here - https://t.co/ghTibzWbZG https://t.co/oWC1lYnbDn"
22,"Good news for Chesterfield, as D2N2 announces funding for the #HS2 masterplan for the Chesterfield railway station area! 👍🚄 https://t.co/1CBMh4QZZP"
25,"#HS2 has engaged with 367 businesses of all sizes in #Yorkshire and The Humber, with 90 delivering work on the project so far. Find out more: https://t.co/NFGprh7q2N https://t.co/mbBU9etaan"
26,HS2’s Interchange station becomes first railway station in the world to get top award for environmentally-friendly design https://t.co/3RdIANkSgs #hs2 #stophs2isdead
27,Are you looking for role on #HS2?\nDo you want to work for a contractor that will give you autonomy and responsibility in managing a major portfolio of work? https://t.co/POQGevyL5l\n#CommercialManager #ukjobs #jobs #Calco #civil #railsector https://t.co/1ijhHHVVv1
28,HS2 has a projected maintenance cost in excess of £100m - imagine if robots were programmed to maintain &amp; fix this rail network?\n.\n#Robotics #coding #Robotech #collaborativerobots #automation #HS2 @HS2ltd \n\nhttps://t.co/Y0yg0JzjKP
29,#HS2 Interchange station becomes the first #railway station in the world to receive a landmark award for its environmentally-friendly design. The BREEAM ‘Outstanding’ certification puts it amongst the top 1% of buildings in the UK. Find out more: https://t.co/MhVbN2azkw https://t.co/aaZlkhyJE4
31,I seem to remember the National College for High Speed Rail also received one of those and look what's happened to @NCATI now LOL\n\n#hs2 https://t.co/KO9ljC5wPU
33,***Job Opportunity***\nAre you looking for role on a #HS2 project?\nDo you want to work for a contractor that will give you autonomy and responsibility in managing a major portfolio of work?\n\n#ukjobs #HS2Jobs #QuantitySurveyor #jobssearch #Calco #CommercialManager #jobalert https://t.co/ftgY6Zdj6k
34,"#HS2 will open up more opportunities for #rail freight services on the existing network, which is positive for local economies and the environment. https://t.co/tB8GUmnMQi"
35,Are you looking for role on #HS2?\nDo you want to work for a contractor that will give you autonomy and responsibility in managing a major portfolio of work? https://t.co/ACgPDDi3Uc\n#CommercialManager #ukjobs #jobs #Calco #civil #railsector https://t.co/Fu0cpRmAmh
36,"French government policy to curb internal aviation where a high-speed rail alternative exists, to generate CO2 savings. Interventionist, and necessary.\n\nThis is how #HS2 could work if backed by the right policy moves. Hopefully @grantshapps is watching. https://t.co/yYUM2m8fjh"
38,"Lots of talk about after this clears up, businesses continuing to use video conferencing in favour of physical travel to meetings. Anyone want to explain that to #HS2 ?"
41,DT Joan Ryan MP: RT The Independent Group for Change: Unlike the Govt we won’t give up fighting for the East Mids and Yorkshire to benefit from #HS2 #EngineForGrowth https://… https://t.co/j5qhQTp7tI
49,"My map of #HS2 and the local authorities it will run through, in addition to neighboring local authorities. Built using #QGIS.\n\nThe first stage of what I'm planning to make an ongoing project.\n\n#geography #GIS https://t.co/obRruOZadE"
53,It has been a topsy turvy 12 months or so for #HS2. Here’s my feature charting recent events and a look at what comes next from May’s @railjournal https://t.co/9VwG9MusE7
61,“The HS2 funding played a major role in re-greening Birmingham.” #Birmingham Trees for Life charity has benefited from #HS2 community funding. Watch this video to find out more about the work of @BhamTrees4Life https://t.co/fG24CpwH8b
63,What a load of As those affected know #HS2 state air quality monitoring and responsibility remains with LAs Ask the people of @WellsHouseRoad @EalingAntiHS2 @GullJane @PrimBoman for example how much is happening to protect them from dust and pollution cause by them #AirPollution https://t.co/bWDUx8ix6o
65,"Looking for an experienced #CommercialManager who will have the ability to manage a project over the course of the contract, working closely with the sector #CommercialDirector and #ProjectDirector. #ApplyNow https://t.co/ACgPDDi3Uc\n#Calco #jobs #nowhiring #HS2 #construction https://t.co/gnx8ff4yEg"
70,"More #HS2 joy on its way to #Buckinghamshire as #HS2Ltd announces new works affecting #Amersham #GtMissenden #ChalfontStPeter #Aylesbury #Turweston #Quainton &amp; #Calvert See "" What to expect from HS2 works in your area of #Bucks..."" @ https://t.co/8ihzdLp3pu"
71,One of our community had a chat about the #HS2 project and why they are #protecting #ancient #woodland across this #uk #vanityproject #standforthetrees Please can we share this .... https://t.co/hRJiJVztZb
79,Queen’s Brian May calls on Boris to ‘rise up to the occasion’ – ‘Wake up Britain!’ WATCH : The musician called on #HS2 to be cancelled https://t.co/aGNyqz4HtA
88,"Two of our tunnel boring machines are launching next year and #HS2 is asking you to choose a name for them. Simply vote for your favourite from the 3 names suggested by local school children. Will it be Cecilia, Florence or Marie? Find out more and vote: https://t.co/ZLYhH18yXq https://t.co/yuwtXEunhR"
94,Join in with this great competition where you can vote for the name of the #HS2 tunnel boring machines. What's your favourite name? https://t.co/ct7X3X11TD
96,"After it was announced #HS2 would run through @whgc1886, listen to a podcast with member @jonathangaunt on how he set about the redesign, working with #EIGCA Gold Partner @RainBirdGolf (irrigation) &amp; Bronze Partner @GreasleyGolf (construction) https://t.co/Ktt0oymZXn https://t.co/m53NFaSAsa"
103,"Please read this informative thread if you're interested in #HS2, especially post COVID-19 (PC as I call it) although we're not sure we'll ever be without COVID-19.... https://t.co/8WNg9Q4h3a"
107,"#hs2\n@BorisJohnson \n@grantshapps \n\nLord Truscott on Housing for the Homeless - &lt;i&gt;Question for Short Debate&lt;/i&gt;, at TheyWorkForYou https://t.co/s8JM6bigEd"
112,#HS2 Interchange station in #Birmingham has become the first railway station to get top award for environmentally friendly design: https://t.co/MAQMdEBtF7
115,"HS2 invites tenders for mammoth £540m digital signalling opportunity, with lots of #automation, #BigData bells and whistles. Station looks... modern? \n\nhttps://t.co/eVGahHGS3J #HS2 #rail #infrastructure https://t.co/ehLhUkMWOh"
118,"From the start, the Beleben blog has taken the view that the economic case for #HS2 has been fabricated and manipulated to serve the political purpose of keeping the project going. This has been borne out by events.\n\nhttps://t.co/MySxiUxas1"
127,This week's #procurement #supply and #coronavirus news - #HS2 digital health passports - #SIGventure - #Covid-19 marketplace - #CLM - #police \nhttps://t.co/341jox26JN\n@SIGinsights @MSD_UK @JaggaerPro @inverto_gmbh
132,New post: #Construction #green #HS2 #immediately #light     The construction of the HS2 received the official green light with work that is to begin “immediately”    https://t.co/cqwfbYEXQU
133,"Improved transport capacity, social and obvious environmental benefits: #HS2 in the spotlight of Volt UK. What do you think? \nhttps://t.co/lrTgdNXHHu"
134,Hilarious - they haven't even worked out how to get into Euston yet LOL\n\n#HS2 Opens Monster £540 Million Invitation to Tender https://t.co/ioqM2nfOST via @CBROnline.com
135,"Which name do you prefer for the new #HS2 high-speed rail line:, Florence, Cecilia or Marie? 🚄\n\nStudents at Meadow High School in #RoyalLane, #Hillingdon, have put the names forward, vote for your choice here ⬇️\n\nhttps://t.co/r0bc6d5UCt"
138,Canary Wharf financial centre prepares for new way of working.\n\nWith people working from remote locations during #lockdown calls into question whether we need #HS2 after all. In the “new normal” will there be a need to get to London 30 mins quicker? \n\nhttps://t.co/F6NcBDpZb8
142,"#HS2 will leave a skills legacy behind, according to chief executive Mark Thurston, speaking at the launch of our #HighSpeedApprentices scheme: https://t.co/T1tOt541Tm https://t.co/rcKEN5Aws8"
152,If you want to know the truth about the rationale and environmental impact of #HS2 Gareth* is the last person to ask.\n\n*funded by #HS2 ltd\n\nLike asking British American Tobacco  if smoking is a good thing. https://t.co/Ty06eq7Wgo
163,And here we have it. Increased road building due to #HS2 @juliabradbury\n\nGreen light for £280M scheme to provide road access to HS2 and Birmingham Airport https://t.co/jhPu3AGQ64
164,#HS2 is all about the 3Cs. A low CARBON #transport network. More CAPACITY across the country’s #rail network. Better CONNECTIVITY in the #Midlands and #North helping rebalance the #economy. Find out more: https://t.co/hkYLZUQ8gA https://t.co/qUUNoixOAV
165,"It seems the ""greenwashing"" of #HS2 doesn't quite stack up. Here it will need a new road and will facilitate increased flights at Birmingham airport @ChrisGPackham @juliabradbury @CherylGillan @Mike_Fabricant @gregsmith_uk @RobBAylesbury @joymorrissey https://t.co/2YA4nmXKMu"
167,#Gas #MainLayers required to start this #June on #HS2 #Euston. Long term works. Candidates with #Buttfusion #welding experience will be preferred. If available please call #Teamforce on 02033972798 to apply.
177,"Rail | Neither High Speed 2 (#HS2) nor Northern Powerhouse Rail “as currently envisaged offer solutions to [the] core problem on the #NorthofEngland rail network”, according to rail research body @greengauge21 https://t.co/sSn85V1Clv"
182,"£280 million for one road scheme, to improve access to Bickenhill parkway high speed station. Included in the #hs2 budget?\n\nhttps://t.co/Y7KypEZYpJ"
183,"The RIA Update is out with exclusive content, including a comment piece from #HS2 Review author Doug Oakervee, the latest on the industry response to #Coronavirus and a report on RIA's 145th Anniversary.\n\n#RIAmember organisations can read it here: https://t.co/3JHzoc0Xrg https://t.co/2fJI96mdR4"
184,"“Following advice by Government to keep working”. Electronic sign spotted today, and no, it wasn’t #HS2, but by the side of A19 #roadworks at Testos Roundabout upgrade site."
185,"#HS2 becomes the first #infrastructure project to adopt CESAR ECV, a new advanced emissions identification scheme to create greener #constructionsites https://t.co/h5Eb7jmoZR"
187,HS2 leads the way with clean air measures by adopting new plant emissions scheme\nhttps://t.co/KkG47nEMl9\n@CESARscheme @DatatagID @CITS_UK @NickCampolucci @HS2ltd \n#CleanAir #HS2 #emissions
188,HS2 leads the way with clean air measures by adopting new plant emissions scheme\nhttps://t.co/N7wWNcI4MV\n@CESARscheme @DatatagID @CITS_UK @NickCampolucci @HS2ltd \n#CleanAir #HS2 #emissions
189,HS2 leads the way with clean air measures by adopting new plant emissions scheme\nhttps://t.co/qktFsfKfTs\n@CESARscheme @DatatagID @CITS_UK @NickCampolucci @HS2ltd \n#CleanAir #HS2 #emissions
190,This is fantastic by @HS2ltd . We will be launching our integration CESAR in June. Please get in touch if you would like to learn more about this or any of our other solutions #digitalconstruction #Construction #innovation #DigitalTransformation #HS2 https://t.co/zUsH9hhAUW
191,"#HS2 becomes the first #infrastructure project to adopt CESAR ECV, a new advanced emissions identification scheme to create greener #constructionsites https://t.co/Gm70zTY08j \n\n#airquality #emissions #plantequipment"
192,Investing in essential skills and diversifying the workforce is vital to the success of #HS2 and future #HighSpeedRail projects: https://t.co/ZUOMLQAKVL
196,Great example of industry coming together to tackle an important issue for the public.\n\nKudos to @ConEquipAssocia @JCBmachines and @hitachi_uk and @DatatagID for the execution.\n\n#construction\n#hs2\n#infrastructure \n#equipment https://t.co/vUOaYRxKNv
199,HS2 leads the way with clean air measures by adopting new plant emissions scheme https://t.co/4VOf0DL2BB #nfrastructure #CleanAir #HS2 #emissions #greenbuilding
201,"New Launch\n\n#Property Investment\n\nGBP 5,000 Reservation Fee\nBalance due on Completion Q1 2022\n\nContact me for details.\n\n#UKproperty #propertyinvestment #propertyportfolio #financialhealth #yourfuture #investment #portfolio #newlaunch #UK #expatinvesting #expat #Hs2 #Financial https://t.co/WYzs4KGqg5"
202,HS2 leads the way with clean air measures by adopting new plant emissions scheme https://t.co/LiJmjt2dnl #nfrastructure #CleanAir #HS2 #emissions #greenbuilding (via Twitter https://t.co/WPkx8j6iYa) https://t.co/WGgWTpAdhk
203,There has been outrage after HS2 asked the public to name two machines which will drill under the Chilterns during construction of the controversial project: https://t.co/4dPVMXkl7X #HS2
206,"As a result of ongoing scrutiny from @CommonsPAC, #HS2 have been forced to review the specification of their new high speed trains in light of cost concerns.\n\nSecret photographs taken at @NCATI reveal the new design. https://t.co/zc7zcfV3S6"
212,"#HS2 is now a #redundant project thanks to the #WorkFromHome revolution.\nThanks to stuff like @MicrosoftTeams @zoom_us and any other things (tag who I've forgotten.) #reinvest, #update, #upgraydd &amp; #modernise current rail #infrastructure. It's cheaper!!"
220,"#HS2 will leave a skills legacy behind, according to chief executive Mark Thurston, speaking at the launch of our #HighSpeedApprentices scheme: https://t.co/T1tOt5lDhW https://t.co/AxKgfdwA5Z"
222,I have heard from a video of @Mike_Fabricant in the commons saying that #HS2 was originally meant to link up to the CTRL (not sure of the accuracy of this)\nThis could possibly be why this map was produced like this? https://t.co/pVXiiZXSS8
232,Join our #recruitment webinar at 12:30 this lunchtime to find out about future opportunities on #HS2 #CSCS #ConstructionCareers\nhttps://t.co/e16prgjjNB https://t.co/ZLr2312rFH
233,HS2: Plans for East Midlands transport hub link unveiled\n\nhttps://t.co/S6coIq58QZ\n\n #construction #infrastructure #constructionnews #constructionuk #constructionproject #landreferencing #hs2 #publictransport #rail #transport
234,ICYMI: £2.7bn TRANSPORT PLAN TO REVOLUTIONISE D2N2 REGION'S LINKS TO HS2 AT TOTON\nRead More: https://t.co/EO30NUft0X\n\nToton proposed as one of two HS2 stations in the D2N2 Region.\n\n@MidsConnect | #HS2 https://t.co/uo9f1x9aXd
236,#HS2 cross party report scathing march 2020 @BorisJohnson @RishiSunak @UKSFO @grantshapps why did this project get the go ahead in march 2020?! @MitchBenn @nickmurftweets @Coldwar_Steve @jonlis1 @johnpilger @TheMendozaWoman @Keir_Starmer @GaryLineker @UKParliament @BBCNewsnight https://t.co/AcT5flumzs
